organism,type,count
Streptomyces ochraceiscleroticus,novel,0
Streptomyces niveus,novel,1
Streptomyces hygroscopicus,novel,3
Streptomyces lydicus,novel,4
Streptomyces tubercidicus,novel,0
Streptomyces chattanoogensis,novel,0
Streptomyces caniferus,novel,0
Streptomyces antimycoticus,novel,0
Streptomyces albospinus,novel,0
Streptomyces decoyicus,novel,0
Streptomyces luteoverticillatus,novel,0
Streptomyces cinnamoneus,novel,0
Streptomyces libani,novel,0
Streptomyces asiaticus,novel,0
Streptomyces indonesiensis,novel,0
Streptomyces rhizosphaericus,novel,1
Streptomyces monomycini,novel,0
Streptomyces griseorubiginosus,novel,4
Streptomyces pristinaespiralis,novel,0
Streptomyces nitrosporeus,novel,0
Streptomyces tricolor,novel,0
Streptomyces alboflavus,novel,1
Streptomyces albus,novel,2
Streptomyces angustmyceticus,novel,0
Streptomyces avermitilis,novel,0
Streptomyces bottropensis,novel,0
Streptomyces clavuligerus,novel,0
Streptomyces coelicolor,novel,0
Streptomyces variegatus,novel,0
Streptomyces flavovariabilis,novel,0
Streptomyces fulvissimus,novel,2
Streptomyces ossamyceticus,novel,0
Streptomyces iakyrus,novel,0
Streptomyces ipomoeae,novel,3
Streptomyces katrae,novel,2
Streptomyces lavendulae,novel,2
Streptomyces lavenduligriseus,novel,0
Streptomyces leeuwenhoekii,novel,1
Streptomyces mobaraensis,novel,1
Streptomyces neyagawaensis,novel,0
Streptomyces nodosus,novel,1
Streptomyces novaecaesareae,novel,0
Streptomyces pyridomyceticus,novel,0
Streptomyces olivaceus,novel,2
Streptomyces prunicolor,novel,0
Streptomyces purpureus,novel,1
Streptomyces resistomycificus,novel,0
Streptomyces scopuliridis,novel,0
Streptomyces varsoviensis,novel,0
Streptomyces vietnamensis,novel,0
Streptomyces vitaminophilus,novel,0
Streptomyces viridochromogenes,novel,2
Streptomyces wedmorensis,novel,0
Streptomyces xanthophaeus,novel,1
Streptomyces xinghaiensis,novel,1
Streptomyces yeochonensis,novel,0
Streptomyces zinciresistens,novel,0
Streptomyces bingchenggensis,novel,1
Streptomyces violaceusniger,novel,2
Streptomyces chartreusis,novel,4
Streptomyces globisporus,novel,3
Streptomyces rimosus,novel,7
Streptomyces capuensis,novel,1
Streptomyces davaonensis,novel,1
Streptomyces lividans,novel,1
Streptomyces albulus,novel,3
Streptomyces collinus,novel,1
Streptomyces fradiae,novel,1
Streptomyces griseorubens,novel,1
Streptomyces baarnensis,novel,1
Streptomyces bikiniensis,novel,1
Streptomyces flavochromogenes,novel,1
Streptomyces violens,novel,1
Streptomyces violaceoruber,novel,2
Streptomyces catenulae,novel,1
Streptomyces fulvoviolaceus,novel,1
Streptomyces caelestis,novel,2
Streptomyces cinnamonensis,novel,1
Streptomyces roseoverticillatus,novel,1
Streptomyces flavovirens,novel,1
